rev, NumMutatns, All, STARTS, Ekstazi, HyRTS, Clover
rev_2, 148, 0, 0, 0, 0, 0
rev_3, n/a, n/a, n/a, n/a, n/a, n/a
rev_4, 37, 22, 22, 22, 0, 22
rev_5, 63, 6, 6, 6, 0, 6
rev_6, 257, 5, 5, 5, 0, 5
rev_7, 37, 22, 22, 22, 0, 22
rev_8, 58, 71, 71, 71, 0, 71
rev_9, n/a, n/a, n/a, n/a, n/a, n/a
rev_10, 63, 6, 6, 6, 0, 6
rev_11, 221, 39, 39, 39, 0, 39
rev_12, n/a, n/a, n/a, n/a, n/a, n/a
rev_13, 51, 0, 0, 0, 0, 0
rev_14, 205, 0, 0, 0, 0, 0
rev_15, 196, 0, 0, 0, 0, 0
rev_16, n/a, n/a, n/a, n/a, n/a, n/a
rev_17, n/a, n/a, n/a, n/a, n/a, n/a
rev_18, 165, 0, 0, 0, 0, 0
rev_19, n/a, n/a, n/a, n/a, n/a, n/a
rev_20, 20, 0, 0, 0, 0, 0
rev_21, 595, 1, 1, 1, 0, 1
rev_22, n/a, n/a, n/a, n/a, n/a, n/a
rev_23, n/a, n/a, n/a, n/a, n/a, n/a
rev_24, n/a, n/a, n/a, n/a, n/a, n/a
rev_25, 22, 0, 0, 0, 0, 0
rev_26, 668, 1, 1, 1, 0, 1
rev_27, 595, 1, 1, 1, 0, 1
rev_28, 139, 8, 8, 8, 0, 8
rev_29, n/a, n/a, n/a, n/a, n/a, n/a
rev_30, 213, 0, 0, 0, 0, 0
rev_31, 209, 0, 0, 0, 0, 0
rev_32, 213, 0, 0, 0, 0, 0
rev_33, n/a, n/a, n/a, n/a, n/a, n/a
rev_34, n/a, n/a, n/a, n/a, n/a, n/a
rev_35, n/a, n/a, n/a, n/a, n/a, n/a
rev_36, n/a, n/a, n/a, n/a, n/a, n/a
rev_37, n/a, n/a, n/a, n/a, n/a, n/a
rev_38, n/a, n/a, n/a, n/a, n/a, n/a
rev_39, n/a, n/a, n/a, n/a, n/a, n/a
rev_40, n/a, n/a, n/a, n/a, n/a, n/a
rev_41, n/a, n/a, n/a, n/a, n/a, n/a
rev_42, n/a, n/a, n/a, n/a, n/a, n/a
rev_43, n/a, n/a, n/a, n/a, n/a, n/a
rev_44, n/a, n/a, n/a, n/a, n/a, n/a
rev_45, n/a, n/a, n/a, n/a, n/a, n/a
rev_46, n/a, n/a, n/a, n/a, n/a, n/a
rev_47, n/a, n/a, n/a, n/a, n/a, n/a
rev_48, n/a, n/a, n/a, n/a, n/a, n/a
rev_49, n/a, n/a, n/a, n/a, n/a, n/a
rev_50, n/a, n/a, n/a, n/a, n/a, n/a
